Studio ItemNo	BaseStudioItemNo	BL ItemNo	BL ItemKey	LDraw ItemNo	LDD ItemNo	Description	isPerfectForCulling	BLCatalogIndex	BLCatalogSubIndex	EasyModeIndex	IsAssembly?	flexible type	IsDecorated	XPCatalogIndex	XPCatalogSubIndex
39360	3462	32296pb01	39360	32296p01.dat		Tire Technic Racing Large with 'TECHNIC RACING' White Pattern	o	99	-1	25	False		True	5063	5066	
3461	3461	30391	3461	30391.dat	30391	Tire 30.4 x 14 Offset Tread	o	99	-1	25	False		False	5063	5066	
48478	48478	2807	48478	2807.dat		Tire Bicycle Wheel	o	99	-1	25	False		False	5063	5066	
94761	94761	88516	94761	88516.dat	88516	Tire 94.2mm D. x 22mm Motorcycle Racing Tread	o	99	-1	25	False		False	5063	5066	
629	629	36	629	36.dat		Tire Smooth - Large	o	99	-1	25	False		False	5063	5066	
92785	92785	87697	92785	87697.dat	87697	Tire 21mm D. x 12mm - Offset Tread Small Wide, Band Around Center of Tread	o	99	-1	25	False		False	5063	5066	
45058	45058	x939	45058	43903c01.dat	43903	Tread with 20 Treads Small	o	99	-1	25	False		False	5063	5066	
1181	1181	680c01	1181	71372c01.dat		Tread with 34 Treads Technic	o	99	-1	25	False		False	5063	5066	
3462	3462	32296	3462	32296.dat		Tire 81.8 x 50 Technic Straight Tread	o	99	-1	25	False		False	5063	5066	
39234	39234	x486	39234	498.dat		Tread with 30 Treads	o	99	-1	25	False		False	5063	5066	
46729	46729	x428	46729	71735c01.dat		Tread with Technic Treads, 16 D. x 2 W. (CyberMaster)	o	99	-1	25	False		False	5063	5066	
1198	1198	2857	1198	2857.dat		Tire 20 x 30 Solid Balloon	o	99	-1	25	False		False	5063	5066	
148923	148924	42611	148923	51011.dat		Tire 17.5mm D. x 6mm with Shallow Staggered Treads	o	99	-1	25	False		False	5063	5066	
128684	128684	18450	128684	18450.dat		Tire 81.6 x 44 R	o	99	-1	25	False		False	5063	5066	
146493	146493	23799	146493	23799.dat		Tire 81.6 x 44 ZR Technic Straight Tread	o	99	-1	25	False		False	5063	5066	
102718	102718	92912	102718	92912.dat	92912	Tire 94.3 x 38 R	o	99	-1	25	False		False	5063	5066	
79913	79913	x486a	79913	x486c01.dat		Tread with 30 Treads Small Wedge-Shaped	o	99	-1	25	False		False	5063	5066	
38102	38102	41897	38102	41897.dat	41897	Tire 56 x 28 ZR Street	o	99	-1	25	False		False	5063	5066	
42835	42835	44799	42835	44799.dat		Tire Center Groove (Tightrope Guide Wheel)	o	99	-1	25	False		False	5063	5066	
13	13	132old	13	u9131.dat		Tire Smooth - Small	o	99	-1	25	False		False	5063	5066	
1808	1808	32003	1808	32003.dat		Tire 68.8 x 24	o	99	-1	25	False		False	5063	5066	
1125	1125	32298	1125	32298.dat		Tire Technic Power Puller	o	99	-1	25	False		False	5063	5066	
1941	1941	2995	1941	2995.dat		Tire 68.8 x 40 Balloon Large	o	99	-1	25	False		False	5063	5066	
1129	1129	32180	1129	32180.dat		Tire 56 x 30 R Balloon	o	99	-1	25	False		False	5063	5066	
64110	64110	54120	64110	54120.dat	54120	Tire 94.8 x 44 R Balloon	o	99	-1	25	False		False	5063	5066	
42220	42220	44309	42220	44309.dat	44309	Tire 43.2 x 22 ZR	o	99	-1	25	False		False	5063	5066	
1939	1939	7b	1939	451.dat		Tire Smooth Small Dually	o	99	-1	25	False		False	5063	5066	
148924	148924	92409	148924	92409.dat		Tire 17.5mm D. x 6mm with Shallow Staggered Treads - Band Around Center of Tread	o	99	-1	25	False		False	5063	5066	
1573	1573	2815	1573	2815.dat	2815	Tire Technic Wedge Belt Wheel	o	99	-1	25	False		False	5063	5066	
1542	1542	6581	1542	6581.dat		Tire 20 x 30 Balloon Medium	o	99	-1	25	False		False	5063	5066	
1550	1550	6594	1550	6594.dat		Tire 49.6 x 28 VR	o	99	-1	25	False		False	5063	5066	
1128	1128	32019	1128	32019.dat	32019	Tire 62.4mm D. x 20mm	o	99	-1	25	False		False	5063	5066	
1179	1179	32078	1179	32078.dat		Tire 70 x 28 mm Futuristic	o	99	-1	25	False		False	5063	5066	
116105	116105	11957	116105	11957.dat	11957	Tire 100.6mm D. Motorcycle	o	99	-1	25	False		False	5063	5066	
1200	1200	2997	1200	2997.dat		Tire 81.6 x 34 ZR Technic Straight Tread	o	99	-1	25	False		False	5063	5066	
157431	157431	30699	157431	30699.dat		Tire 43.2 x 14 Solid	o	99	-1	25	False		False	5063	5066	
1126	1126	32196	1126	32196.dat		Tire 81.6 x 34 ZR Technic Thin Sporty Tread	o	99	-1	25	False		False	5063	5066	
78331	78331	61481	78331	61481.dat	61481	Tire 43.2mm D. x 26mm Balloon Small	o	99	-1	25	False		False	5063	5066	
44732	44732	4720c01	44732	64248.dat		Wheel Bicycle with Black Tire (4720 / 2807) (2-Piece Wheel)	o	99	-1	25	False		False	5063	5066	
1127	1127	2902	1127	2902.dat	2902	Tire 81.6 x 15 Motorcycle	o	99	-1	25	False		False	5063	5066	
1540	1540	6579	1540	6579.dat		Tire 43.2 x 28 S Balloon Small	o	99	-1	25	False		False	5063	5066	
43537	43537	41893	43537	41893.dat		Tire 68.8 x 36 H	o	99	-1	25	False		False	5063	5066	
83334	83334	61480	83334	61480.dat	61480	Tire 68.7 x 34 R	o	99	-1	25	False		False	5063	5066	
147853	147853	23798	147853	23798.dat		Tire 107 x 44R Tractor	o	99	-1	25	False		False	5063	5066	
65005	65005	55976	65005	55976.dat	55976	Tire 56 x 26 Balloon	o	99	-1	25	False		False	5063	5066	
47881	47881	44771	47881	44771.dat	44771	Tire 68.8 x 36 ZR	o	99	-1	25	False		False	5063	5066	
269	269	30028	269	30028.dat	30028	Tire 14mm D. x 9mm Smooth Small Wide Slick	o	99	-1	25	False		False	5063	5066	
41987	1125	32298pb01	41987	32298p01.dat		Tire Technic Power Puller with 'TECHNIC POWER' White Pattern	o	99	-1	25	False		True	5063	5066	
134791	134791	92851c01	134791	92851.dat		Wheel Bicycle with Fixed Black Hard Rubber Tire (1-Piece Wheel)	o	99	-1	25	False		False	5063	5066	
43095	43095	45982	43095	45982.dat	45982	Tire 81.6 x 38 R Balloon	o	99	-1	25	False		False	5063	5066	
1386	83327	6015	1386	6015.dat	6015	Tire 21mm D. x 12mm - Offset Tread Small Wide	o	99	-1	25	False		False	5063	5066	
1180	1180	4267	1180	4267.dat		Tire 20 x 30 Technic	o	99	-1	25	False		False	5063	5066	
77351	77351	x1825	77351	56907.dat		Tire 81.6 x 36 R Technic Straight Tread	o	99	-1	25	False		False	5063	5066	
52198	52198	50945	52198	50951.dat	50951	Tire 14mm D. x 6mm Solid Smooth	o	99	-1	25	False		False	5063	5066	
195	195	2696	195	2696.dat	2696	Tire 13 x 24 Model Team	o	99	-1	25	False		False	5063	5066	
101118	101118	87414	101118	87414.dat	87414	Tire 15mm D. x 6mm Offset Tread Small - Band Around Center of Tread	o	99	-1	25	False		False	5063	5066	
11154	11154	6596	11154	6596.dat		Tire 81.6 x 14.2 Motorcycle Z Racing Tread	o	99	-1	25	False		False	5063	5066	
645	645	3634	645	3634.dat	3634	Tire 17 x 43	o	99	-1	25	False		False	5063	5066	
149106	17084	3069bpb0522	149106	3069bp20.dat		Tile 1 x 2 with Groove with 2 Black Squares Large Pattern	o	98	1	7	False		true	5014		
85858	1556	6636pb016	85858	6636p04.dat		Tile 1 x 6 with 'R. Guggenheim' Pattern - Set 21004	o	98	1	7	False		True	5014		
118254	17084	3069bpb0278	118254	3069bpb278.dat		Tile 1 x 2 with Groove with 'Santander' Pattern (Sticker) - Set 30190	o	98	1	7	False		True	5014		
126532	84	2431pb340	126532	2431d50.dat		Tile 1 x 4 with White 'LATCH' and Exclamation Marks in Triangles Pattern (Sticker) - Set 70816	o	98	1	7	False		True	5014		
97312	17084	3069bpb0139	97312	3069bp17.dat		Tile 1 x 2 with Groove with 'POLICE' White on Blue Background Pattern (Printed)	o	98	1	7	False		True	5014		
42168	17085	3068pb57	42168	3068bpfc.dat		Tile 2 x 2 with Fabuland Pretzel, '2', and Star Pattern	o	98	1	7	False		True	5014		
3089	17081	3068pb01	3089	3068bpfi.dat		Tile 2 x 2 with Fabuland Mail Envelope, Text and '1' Stamp Pattern	o	98	1	7	False		True	5014		
3090	17085	3068pb02	3090	3068bpfy.dat		Tile 2 x 2 with Fabuland Mail Envelope, Airplane and '3' Stamp Pattern	o	98	1	7	False		True	5014		
52804	17085	3068bpb0074	52804	3068bpb0074.dat		Tile 2 x 2 with Groove with Classic Fire Logo Large Pattern	o	98	1	7	False		True	5014		
462	17085	3068bp57	462	3068bp57.dat		Tile 2 x 2 with Groove with Classic Fire Logo Small Pattern	o	98	1	7	False		True	5014		
3109	17085	3068pb12	3109	3068bpfg.dat		Tile 2 x 2 with Fabuland House Pattern	o	98	1	7	False		True	5014		
53938	17085	3068bpx72	53938	3068bpfx.dat		Tile 2 x 2 with Groove with Fabuland House In Frame Pattern	o	98	1	7	False		True	5014		
1254	17084	3069bpx37	1254	3069bpw0.dat		Tile 1 x 2 with Groove with 'WANTED' 500 Reward Poster Pattern	o	98	1	7	False		True	5014		
3111	17085	3068pb14	3111	3068bpf4.dat		Tile 2 x 2 with Fabuland Raccoon Pattern	o	98	1	7	False		True	5014		
157438	141671	22385pb119	157438	22385pb119.dat		Tile, Modified 2 x 3 Pentagonal with Nexo Power Shield Pattern - Yeti Sneeze	o	98	2	9	False		True	5016		
136916	17085	3068bpb0939	136916	3068bpb0939.dat		Tile 2 x 2 with Groove with Fire Badge and Axes Pattern	o	98	1	7	False		True	5014		
133712	17085	3068bpb0907	133712	3068bpm0.dat		Tile 2 x 2 with Groove with Map and Elven Key Pattern	o	98	1	7	False		True	5014		
11087	17085	3068bpb0053	11087	3068bpb0053.dat		Tile 2 x 2 with Groove with Flower Ring Pattern	o	98	1	7	False		True	5014		
39544	17085	3068pb35	39544	3068pb35.dat		Tile 2 x 2 with Flower Pattern	o	98	1	7	False		True	5014		
457	17085	3068bp22	457	3068bp22.dat		Tile 2 x 2 with Tool Sledgehammer Pattern	o	98	1	7	False		True	5014		
39560	17085	3068pb36	39560	3068bpff.dat		Tile 2 x 2 with Fabuland Alarm Clock Pattern	o	98	1	7	False		True	5014		
141342	9081	3070bpb091	141342	3070bpb091.dat		Tile 1 x 1 with Groove with SW Galactic Empire Jet Pack Pattern	o	98	1	7	False		True	5014		
3112	17081	3068pb21	3112	3068bpft.dat		Tile 2 x 2 with Fabuland Crocodile Pattern	o	98	1	7	False		True	5014		
111775	9081	3070bpb061	111775	3070bpv1.dat		Tile 1 x 1 with Groove with Silver Number 1 Pattern	o	98	1	7	False		True	5014		
111786	9081	3070bpb072	111786	3070bpuj.dat		Tile 1 x 1 with Groove with Silver '@' Pattern	o	98	1	7	False		True	5014		
111776	9081	3070bpb062	111776	3070bpv2.dat		Tile 1 x 1 with Groove with Silver Number 2 Pattern	o	98	1	7	False		True	5014		
3110	17085	3068pb13	3110	3068bpfh.dat		Tile 2 x 2 with Fabuland Bear Pattern	o	98	1	7	False		True	5014		
49630	9081	3070bpb009	49630	3070bpta.dat		Tile 1 x 1 with Groove with Letter Capital A Pattern	o	98	1	7	False		True	5014		
49657	9081	3070bpb036	49657	3070bpue.dat		Tile 1 x 1 with Groove with Letter Ü Pattern	o	98	1	7	False		True	5014		
49644	9081	3070bpb023	49644	3070bpto.dat		Tile 1 x 1 with Groove with Letter Capital O Pattern	o	98	1	7	False		True	5014		
49655	9081	3070bpb034	49655	3070bptz.dat		Tile 1 x 1 with Groove with Letter Capital Z Pattern	o	98	1	7	False		True	5014		
49658	9081	3070bpb037	49658	3070bpua.dat		Tile 1 x 1 with Groove with Letter Æ Pattern	o	98	1	7	False		True	5014		
49643	9081	3070bpb022	49643	3070bptn.dat		Tile 1 x 1 with Groove with Letter Capital N Pattern	o	98	1	7	False		True	5014		
49638	9081	3070bpb017	49638	3070bpti.dat		Tile 1 x 1 with Groove with Letter Capital I Pattern	o	98	1	7	False		True	5014		
49632	9081	3070bpb011	49632	3070bptc.dat		Tile 1 x 1 with Groove with Letter Capital C Pattern	o	98	1	7	False		True	5014		
58802	9081	3070bpb040	58802	3070bpb040.dat		Tile 1 x 1 with Groove with Headlight Pattern (Sticker) - Set 8858-1	o	98	1	7	False		True	5014		
49631	9081	3070bpb010	49631	3070bptb.dat		Tile 1 x 1 with Groove with Letter Capital B Pattern	o	98	1	7	False		True	5014		
111774	9081	3070bpb060	111774	3070bpv0.dat		Tile 1 x 1 with Groove with Silver Number 0 Pattern	o	98	1	7	False		True	5014		
474	17084	3069bp06	474	3069bp06.dat		Tile 1 x 2 with Groove with Arrow Long Yellow with Black Border Pattern	o	98	1	7	False		True	5014		
112207	798	4162pb083	112207	4162p0j.dat		Tile 1 x 8 with 'KOM Moulding' Pattern	o	98	1	7	False		True	5014		
125259	798	4162pb110	125259	4162p1c.dat		Tile 1 x 8 with 'LEGO House' Pattern	o	98	1	7	False		true	5014		
156482	119785	14769pb186	156482	14769pb186.dat		Tile, Round 2 x 2 with Bottom Stud Holder with Red Circles Pattern	o	98	3	8	False		True	5015		
62175	17084	3069bpb0017	62175	3069bp14.dat		Tile 1 x 2 with Groove with Arrow Long Yellow without Black Border Pattern	o	98	1	7	False		True	5014		
49639	9081	3070bpb018	49639	3070bptj.dat		Tile 1 x 1 with Groove with Letter Capital J Pattern	o	98	1	7	False		True	5014		
49642	9081	3070bpb021	49642	3070bptm.dat		Tile 1 x 1 with Groove with Letter Capital M Pattern	o	98	1	7	False		True	5014		
49640	9081	3070bpb019	49640	3070bptk.dat		Tile 1 x 1 with Groove with Letter Capital K Pattern	o	98	1	7	False		True	5014		
49635	9081	3070bpb014	49635	3070bptf.dat		Tile 1 x 1 with Groove with Letter Capital F Pattern	o	98	1	7	False		True	5014		
49637	9081	3070bpb016	49637	3070bpth.dat		Tile 1 x 1 with Groove with Letter Capital H Pattern	o	98	1	7	False		True	5014		
144622	9081	3070bpb101	144622	3070bpb101.dat		Tile 1 x 1 with Groove with Pixelated Pattern (Minecraft Eye of Ender)	o	98	1	7	False		True	5014		
49636	9081	3070bpb015	49636	3070bptg.dat		Tile 1 x 1 with Groove with Letter Capital G Pattern	o	98	1	7	False		True	5014		
124231	9081	3070bpb081	124231	3070bp0a.dat		Tile 1 x 1 with Groove with Black Keyhole and 4 Dots on Silver Background Pattern	o	98	1	7	False		True	5014		
3515	17085	3068px1	3515	3068px1.dat		Tile 2 x 2 with Drill Pattern	o	98	1	7	False		True	5014		
111785	9081	3070bpb071	111785	3070bpug.dat		Tile 1 x 1 with Groove with Silver '_' Pattern	o	98	1	7	False		True	5014		
111788	9081	3070bpb073	111788	3070bpuf.dat		Tile 1 x 1 with Groove with Silver '.' Pattern	o	98	1	7	False		True	5014		
38576	9081	3070bpb001	38576	3070bph0.dat		Tile 1 x 1 with Groove with HP Black Spider Pattern	o	98	1	7	False		True	5014		
111784	9081	3070bpb070	111784	3070bpuh.dat		Tile 1 x 1 with Groove with Silver '-' Pattern	o	98	1	7	False		True	5014		
66007	9081	3070bpx23	66007	3070bpf3.dat		Tile 1 x 1 with Groove with Red Heart Pattern	o	98	1	7	False		True	5014		
69996	9081	3070bpb044	69996	3070bpf1.dat		Tile 1 x 1 with Groove with Scala Red Top Pattern	o	98	1	7	False		True	5014		
111777	9081	3070bpb063	111777	3070bpv3.dat		Tile 1 x 1 with Groove with Silver Number 3 Pattern	o	98	1	7	False		True	5014		
157350	17085	3068bpb1098	157350	3068bpb1098.dat		Tile 2 x 2 with Groove with Map Ninjago with Pagoda and Ship Pattern	o	98	1	7	False		True	5014		
1249	17084	3069bpx7	1249	3069bpw2.dat		Tile 1 x 2 with Groove with 100 Dollar Bill Money Pattern	o	98	1	7	False		True	5014		
157351	174893	26603pb005	157351	26603pb005.dat		Tile 2 x 3 with Red Circle with Petals and Inner Circle, Ninjago Logogram 'DOJO WU' and Gold Border Pattern	o	98	1	7	False		True	5014		
452	17085	3068bp08	452	3068bp08.dat		Tile 2 x 2 with Groove with Arrow Thin Yellow with Black Border Pattern	o	98	1	7	False		True	5014		
111778	9081	3070bpb064	111778	3070bpv4.dat		Tile 1 x 1 with Groove with Silver Number 4 Pattern	o	98	1	7	False		True	5014		
111782	9081	3070bpb068	111782	3070bpv8.dat		Tile 1 x 1 with Groove with Silver Number 8 Pattern	o	98	1	7	False		True	5014		
10836	9081	3070bpb003	10836	3070bp05.dat		Tile 1 x 1 with Groove with Number 60 White Pattern	o	98	1	7	False		True	5014		
11086	17085	3068bpb0050	11086	3068bpfj.dat		Tile 2 x 2 with Groove with Apple Pattern	o	98	1	7	False		true	5014		
111779	9081	3070bpb065	111779	3070bpv5.dat		Tile 1 x 1 with Groove with Silver Number 5 Pattern	o	98	1	7	False		True	5014		
1873	9081	3070bp03	1873	3070bp03.dat		Tile 1 x 1 with Groove with Number 3 Pattern	o	98	1	7	False		True	5014		
140705	9081	3070bpb089	140705	3070bpc0.dat		Tile 1 x 1 with Groove with Black and Red Digital Keypad Pattern	o	98	1	7	False		True	5014		
144735	9081	3070bpb102	144735	3070bpe0.dat		Tile 1 x 1 with Groove with Orange Fox Head on Lime Pentagonal Shield Pattern	o	98	1	7	False		true	5014		
453	17085	3068bp10	453	3068bp10.dat		Tile 2 x 2 with Groove with Exploriens Logo Pattern	o	98	1	7	False		True	5014		
111781	9081	3070bpb067	111781	3070bpv7.dat		Tile 1 x 1 with Groove with Silver Number 7 Pattern	o	98	1	7	False		True	5014		
49641	9081	3070bpb020	49641	3070bptl.dat		Tile 1 x 1 with Groove with Letter Capital L Pattern	o	98	1	7	False		True	5014		
142601	9081	3070bpb094	142601	3070bpb094.dat		Tile 1 x 1 with Groove with Iron Man Armor and White Hexagonal Reactor Pattern	o	98	1	7	False		True	5014		
49656	9081	3070bpb035	49656	3070bpuc.dat		Tile 1 x 1 with Groove with Letter Å Pattern	o	98	1	7	False		True	5014		
156160	141671	22385pb117	156160	22385pb117.dat		Tile, Modified 2 x 3 Pentagonal with Nexo Power Shield Pattern - Haunted Armor	o	98	2	9	False		True	5016		
146301	17085	3068bpb0991	146301	3068bpx0.dat		Tile 2 x 2 with Groove with Pixelated Red Pattern (Minecraft Cake)	o	98	1	7	False		True	5014		
69997	9081	3070bpb045	69997	3070bpf0.dat		Tile 1 x 1 with Groove with Red/Blue Flower Pattern	o	98	1	7	False		True	5014		
18052	9081	3070bp08	18052	3070bp08.dat		Tile 1 x 1 with Groove with Number 3 Bold Pattern	o	98	1	7	False		True	5014		
3666	9081	3070bp04	3666	3070bp04.dat		Tile 1 x 1 with Groove with Number 4 Pattern	o	98	1	7	False		True	5014		
47879	9081	3070bpb007	47879	3070bp09.dat		Tile 1 x 1 with Groove with Dark Orange Padlock with Reddish Brown Keyhole Pattern	o	98	1	7	False		True	5014		
111780	9081	3070bpb066	111780	3070bpv6.dat		Tile 1 x 1 with Groove with Silver Number 6 Pattern	o	98	1	7	False		True	5014		
3101	17085	3068pb26	3101	3068bpfw.dat		Tile 2 x 2 with Fabuland Books Pattern	o	98	1	7	False		True	5014		
3107	17085	3068pb30	3107	3068bpfa.dat		Tile 2 x 2 with Fabuland Ball Pattern	o	98	1	7	False		True	5014		
41995	17085	3068bpb0057	41995	3068bpfb.dat		Tile 2 x 2 with Groove with Fabuland Cake, Icing and Red Cherry Pattern	o	98	1	7	False		True	5014		
160784	84	2431pb499	160784	2431p70.dat		Tile 1 x 4 with Solar Panels Pattern	o	98	1	7	False		True	5014		
160785	160785	26603pb015	160785	26603pb015.dat		Tile 2 x 3 with 'CDDA TLVA ATA LLA LFA MTA CTA CTM TWA FTA' Pattern	o	98	1	7	False		True	5014		
160913	90265	87079pb464	160913	87079pb464.dat		Tile 2 x 4 with White BrickHeadz Head and Word Balloon with '#LEGOSDCC 2017' Pattern	o	98	1	7	False		True	5014		
156219	84	2431pb469	156219	2431pz3.dat		Tile 1 x 4 with Black Moustache Pattern	o	98	1	7	False		True	5014		
170140	170140	87079pb521	170140	87079pb521.dat		Tile 2 x 4 with Black Zigzag (Homer Simpson's Hair) Pattern	o	98	1	7	False		True	5014		
116636	798	4162pb094	116636	4162dm1.dat		Tile 1 x 8 with Brick Outline on Left End Pattern (Sticker) - Set 9473	o	98	1	7	False		True	5014		
161286	119785	14769pb205	161286	14769pb205.dat		Tile, Round 2 x 2 with Bottom Stud Holder with Pixelated Fire Pattern	o	98	3	8	False		True	5015		
116635	798	4162pb093	116635	4162dm0.dat		Tile 1 x 8 with Brick Outline on Right End Pattern (Sticker) - Set 9473	o	98	1	7	False		True	5014		
153563	84	2431pb459	153563	2431pz2.dat		Tile 1 x 4 with Black Lines and Blue and White Half Circle Pattern	o	98	1	7	False		True	5014		
104476	84	2431pb176	104476	2431pb176.dat		Tile 1 x 4 with Black 'H-VW 1962' Pattern (Sticker) - Set 10220	o	98	1	7	False		True	5014		
3579	792	4150px19	3579	4150ps9.dat		Tile, Round 2 x 2 with SW Radial Machinery Pattern	o	98	3	8	False		True	5015		
137591	1471	6179pb091	137591	6179pb091.dat		Tile, Modified 4 x 4 with Studs on Edge with Blue Whiteboard Formula Pattern	o	98	2	9	False		True	5016		
153550	84	2431pb458	153550	2431pz1.dat		Tile 1 x 4 with Bright Light Yellow Triangle with Black Outline Offset on Red Rectangle Pattern (BrickHeadz The Joker Mouth)	o	98	1	7	False		True	5014		
149108	84	2431pb442	149108	2431pb442.dat		Tile 1 x 4 with Black 'CATERHAM' Pattern	o	98	1	7	False		True	5014		
3511	84	2431px5	3511	2431pw0.dat		Tile 1 x 4 with 'KEEP OUT' Pattern	o	98	1	7	False		True	5014		
795	792	4150p07	795	4150c07.dat		Tile, Round 2 x 2 with Red and White Life Preserver Pattern (Sticker) - Sets 2962 / 6479 / 6540 / 6541 / 6559 / 6598	o	98	3	8	False		True	5015		
69992	792	4150pb030	69992	4150pf0.dat		Tile, Round 2 x 2 with Red Rings Pattern	o	98	3	8	False		True	5015		
11583	84	2431pb002	11583	2431p08.dat		Tile 1 x 4 with '- - 3 - -' Pattern	o	98	1	7	False		True	5014		
170125	17085	3068bpb1180	170125	3068bpz1.dat		Tile 2 x 2 with Groove with Black Zigzag (Homer Simpson's Hair) Pattern	o	98	1	7	False		True	5014		
10629	84	2431p52	10629	2431p52.dat		Tile 1 x 4 with Black and Yellow Danger Stripes Black Pattern	o	98	1	7	False		True	5014		
3504	84	2431px3	3504	2431ps0.dat		Tile 1 x 4 with Black SW Naboo Symbols Pattern	o	98	1	7	False		True	5014		
146854	17085	3068bpb0995	146854	3068bpb0995.dat		Tile 2 x 2 with Groove with '#329', 'STARFARER' and '6+' Pattern	o	98	1	7	False		True	5014		
3505	84	2431px7	3505	2431p00.dat		Tile 1 x 4 with Black Spanner Wrench Pattern	o	98	1	7	False		True	5014		
116627	84	2431pb289	116627	2431dm2.dat		Tile 1 x 4 with Wood Grain and Nails Pattern Type 3 (Sticker) - Set 9473	o	98	1	7	False		True	5014		
116626	84	2431pb288	116626	2431dm1.dat		Tile 1 x 4 with Wood Grain and Nails Pattern Type 2 (Sticker) - Set 9473	o	98	1	7	False		True	5014		
101603	84	2431pb160	101603	2431pk0.dat		Tile 1 x 4 with Teeth Pattern	o	98	1	7	False		True	5014		
116625	84	2431pb287	116625	2431dm0.dat		Tile 1 x 4 with Wood Grain and Nails Pattern Type 1 (Sticker) - Set 9473	o	98	1	7	False		True	5014		
116629	84	2431pb291	116629	2431dm4.dat		Tile 1 x 4 with Bricks and Cracks Pattern Type 1 (Sticker) - Set 9473	o	98	1	7	False		True	5014		
2891	17084	3069bpb0001	2891	3069bp18.dat		Tile 1 x 2 with Groove with 'POLICE' Pattern	o	98	1	7	False		True	5014		
116630	84	2431pb292	116630	2431dm5.dat		Tile 1 x 4 with Bricks and Cracks Pattern Type 2 (Sticker) - Set 9473	o	98	1	7	False		True	5014		
116631	84	2431pb293	116631	2431dm6.dat		Tile 1 x 4 with Bricks and Cracks Pattern Type 3 (Sticker) - Set 9473	o	98	1	7	False		True	5014		
54557	17084	3069bpb0044	54557	3069bps8.dat		Tile 1 x 2 with Groove with 3 White Triangles Pattern	o	98	1	7	False		True	5014		
3508	84	2431px11	3508	2431pw1.dat		Tile 1 x 4 with LEGOREDO Pattern	o	98	1	7	False		True	5014		
